Latitude;Longitude;numer_sta;Altitude;Nom
46.766000;6.359167;07392;1036;METABIEF_STATION
46.020833;6.970833;07393;2196;LE TOUR BALME
46.341167;6.708167;07454;1535;Bernex
45.247667;6.732667;07456;2166;Aussois
46.315333;6.673333;07457;790;VACHERESSE AUXI
45.217167;6.202500;07466;2090;ST SORLIN D'ARVES
45.901167;6.885833;07467;2310;PLAN AIGUILLE TMB
45.962000;6.888500;07470;1850;LA FLEGERE
45.227167;5.581167;07488;1260;AUTRANS-NIVO
45.445000;6.978167;07498;1854;Val d Isere Joseray
45.917833;6.866167;07499;1025;CHAMONIX-OBS
45.373667;7.057167;07566;1830;Bonneval sur Arc
45.274167;6.922333;07567;2101;Val Cenis (La Berche)
44.938167;6.719500;07575;2134;MONTGENEVRE-LE CHALVET
45.128167;6.071667;07582;1350;Olmet
44.997000;6.204667;07583;3200;Les 2 ALpes Jandri
44.932667;6.292000;07584;1738;La Berarde
44.907167;5.334333;07585;1425;FONT D'URLE
44.946667;6.188333;07589;1570;St Christophe
44.810000;6.195333;07590;1270;Les Portes en Valgaudemar
44.665500;5.906667;07595;1915;Super_Devoluy
44.580667;6.352833;07596;1717;REALLON _NIVO
44.343833;6.695000;07598;1980;LE SAUZE
44.621500;6.084333;07599;1240;GAP-BAYARD
43.038167;-1.026667;07608;1327;Iraty
44.239167;6.753000;07696;1850;Estenc
44.097500;7.505833;07697;1554;Val Casterino
45.006000;6.253000;07708;3196;LA GRAVE 3200 M
45.577833;6.895167;07711;1524;STE FOY STATION
44.616667;6.644167;07715;2050;RISOUL
46.027667;6.665667;07721;1760;LES CARROZ KEDEUSAZ
42.911833;0.768167;07725;1456;Boutx le Mourtis
42.739500;1.513333;07730;1468;Goulier
42.755000;1.863333;07746;1600;LE CHIOULA
45.100000;6.100000;07811;2350;L Alpe d Huez 2350
45.878833;6.524500;07813;1210;LA GIETTAZ
45.247833;6.571000;07815;2356;Orelle
44.893000;5.547667;07818;1250;Gresse en Vercors
46.003500;6.697333;07856;1620;Flaine
46.186167;6.779833;07858;1768;Avoriaz
46.225167;6.797167;07861;1700;CHATEL NIVO
45.188500;6.698833;07863;1960;La Norma
45.532167;2.820833;07865;1664;PLATEAU CACADOGNE
45.713000;6.276333;07871;1159;Seythenex
45.256167;5.995667;07872;1355;PRAPOUTEL
46.002333;6.947333;07873;1478;LE TOUR NIVO
45.097667;6.072833;07875;1860;L Alpe d Huez (SATA)
45.972000;6.454167;07876;1270;Le Grand Bornand
45.389500;6.123833;07877;1642;Le Collet d Allevard
45.057167;6.076333;07878;1600;AURIS-EN-OISANS
44.996667;6.171833;07881;2550;Les 2 Alpes (Toura NE)
45.020833;5.862500;07882;1382;L Alpe du Grand Serre
45.645000;6.063333;07884;1400;Les Aillons (Margeriaz)
45.227667;6.404000;07885;1603;Les Karellis
45.024333;5.567667;07886;1710;Villard cote 2000
45.893500;6.445667;07887;1597;LA CLUSAZ
45.176000;6.493833;07888;1788;Valmeinier
45.323333;6.541667;07889;1800;Les Menuires
45.155833;6.664833;07890;2208;Val Frejus
45.671333;6.540500;07891;1209;Areches
45.371667;6.583333;07892;1700;Meribel Mottaret
45.413333;6.632167;07893;1780;Courchevel
45.461833;6.445167;07894;1350;Valmorel
45.505000;6.671667;07895;1970;La Plagne
45.381667;6.720000;07896;1416;Pralognan
45.791833;6.699833;07897;1780;LES CONTAMINES MONTJOIE
45.573333;6.826667;07900;2040;Les Arcs
45.629833;6.848333;07901;1867;La Rosiere
45.120667;5.895667;07902;2022;Chamrousse Niverolles
45.111500;5.609167;07903;1400;Lans en Vercors
45.468333;6.908333;07904;2080;Tignes
45.243333;6.266667;07907;1585;Le Corbier
45.968333;6.942833;07908;1970;Lognan
45.345000;5.846500;07909;1700;St Pierre de Chartreuse
45.758333;6.528833;07911;1636;Les Saisies
45.320667;6.995333;07912;1713;Bessans
45.441833;7.016167;07913;2310;Le Molard
45.025500;6.288667;07915;2420;La Grave - La Meije
45.417833;6.363333;07916;1594;ST FRANCOIS LONG
45.294500;6.582500;07918;2283;VAL THORENS
44.709333;6.316500;07919;2130;Orcieres
45.158833;6.097667;07920;1720;VAUJANY-NIVO
44.818000;6.485833;07921;1680;PUY ST VINCENT 1600
45.163167;6.465333;07922;2295;Valloire
44.481667;6.562833;07923;1895;LES ORRES FONTAINES
44.924500;6.571333;07925;1905;Serre Chevalier
44.949833;6.501000;07926;2185;Le Monetier
44.360000;6.584667;07927;2100;Pra Loup
46.165833;6.659167;07928;1530;Les Gets
44.561000;6.670333;07929;2222;VARS
44.671167;6.776167;07931;1665;CEILLAC_NIVO
44.593000;6.843333;07933;1908;Maljasset
44.705167;6.867833;07935;2140;ST VERAN RM
44.793500;6.946167;07936;2020;ABRIES RM
44.189500;7.149000;07939;1912;ISOLA
44.289833;6.561667;07940;1900;La Foux d Allos
44.087000;6.941333;07941;1630;Valberg
44.215333;6.913500;07942;1910;Auron
42.978500;-0.748167;07943;1650;ARETTE LA-PIERRE-SAINT-MARTIN
44.870833;6.487167;07945;1270;PELVOUX ST ANTOINE
42.901500;-0.388167;07949;1860;Artouste
42.950333;-0.331667;07950;1590;Gourette
42.879667;-0.158167;07952;1920;CAUTERETS_LYS
42.881000;-0.063833;07953;1800;Luz Ardiden
42.828333;0.550000;07954;1107;St Paul d Oueil
42.729167;-0.031167;07955;1840;GAVARNIE_ESPECIERES
42.905500;0.130833;07957;1740;Bareges
42.782167;0.160000;07959;1860;Piau
42.943500;0.456167;07960;1590;Nistos
42.816500;0.254667;07964;2085;ST LARY LITA
42.791167;0.388000;07965;1460;Val Louron
42.835333;0.934667;07966;1000;SENTEIN EYLIE HAUT
42.786833;0.477667;07968;1569;Les Agudes
42.770500;0.576333;07969;1763;Superbagneres
42.724000;1.690667;07970;1789;Beille
42.778833;1.300833;07971;1384;Guzet
42.692333;1.796500;07972;1715;Ax Bonascre
42.843833;1.744167;07973;1472;Mont d Olmes
42.730333;1.954000;07974;1500;Ascou Pailheres
42.590167;1.800333;07975;1420;L Hospitalet
42.726500;2.017000;07976;1530;Mijanes
42.551667;1.789000;07977;2087;PORTE-PUYMORENS
42.807167;1.381167;07978;1280;Etang de L Hers
42.531833;2.031833;07980;2124;FONT-ROMEU-GALINERA
42.571667;2.051667;07981;2108;Les Angles
42.623667;2.068333;07982;1753;FORMIGUERE
42.472833;2.117667;07984;1941;ST PIERRE DELS FORCATS
42.286833;8.891667;07985;1420;Vergio
41.999333;9.123167;07986;1623;Bastelica
42.402667;8.922667;07987;1434;ASCO-STAGNU
42.077000;9.147167;07989;1670;GHISONI-CAPAGHJOLU
46.600000;6.116667;;1100;CHAPELLE
47.818333;6.840000;;1120;BALLON D'ALSACE
46.563333;6.121667;;1230;BOIS D'AMONT CHALET-GAILLARD
42.510000;1.530000;;1105;ANDORRE LA VIEILLE
